[358.406799, 283.728119;
219.262131, 266.292328;
219.262131, 266.292328;
241.432098, 286.824036;
241.432098, 286.824036;
241.391541, 249.232178;
320.101227, 291.254272;
319.443390, 283.785248;
353.771637, 267.108398;
327.994568, 305.161499;
241.467163, 249.108353;
358.092743, 268.454956;
367.514618, 283.477966;
366.436981, 283.561676;
319.654572, 268.617279;
310.201080, 283.517212;
241.432098, 286.824036;
330.631470, 251.098022;
353.771637, 267.108398;
241.391541, 249.232178;
351.205200, 276.458801;
256.414276, 280.340363;
346.357788, 250.982742;
323.649078, 267.200348;
227.479507, 253.440186;
228.664429, 279.207581;
226.490540, 252.264343;
226.254898, 281.510986;
330.631470, 251.098022;
326.522614, 276.533234;
346.357788, 250.982742;
338.791260, 275.500641;
112.916077, 305.214294;
114.920341, 300.892456;
330.631470, 251.098022;
330.631470, 251.098022;
171.591568, 275.656952;
353.391907, 267.134033;
172.907333, 278.275146;
119.692627, 263.856506;
112.243599, 290.528351;
120.299286, 269.449463;
324.130157, 266.994720;
338.791260, 275.500641;
141.521729, 291.487152]
